Id,English,French
localization1,English,Anglais
localization3,French,Français
titleMenu,Menu,Menu
titleLanguage,Language,Langage
titleTours,Tours,Tours
titleListOfPointsOfInterest,"Nipper Tour","Tour Nipper"
titlePOI,"Points of Interest","Point d'intérêt"
titleIntroduction,"Introduction","Introduction"
titleSettings,"Settings","Configurations"
titleHelp,"Tutorial","Tutoriel"
buttonNipperTour,"Nipper Tour","Tour Nipper"
buttonFreeRoaming,"Free Roaming Tour","Tour Libre"
buttonCommingSoon,"Comming Soon...","À venir..."
buttonTours,Tours,Tours
buttonSettings,Settings,Configurations
buttonFinish,Finish,Finir
buttonOk,Ok,Oui
buttonCancel,Cancel,Annuler
buttonNext,"Next","Suivant"
buttonClose,Close,Fermer
buttonSound,"Sound","Son"
buttonHelp,"Help","Aide"
buttonViewSummary,"View Summary","Voir le Résumé"
panelQuit,"Do you want to quit the application?","Voulez-vous quitter l'application?"
panelBluetooth,"Your bluetooth is turned off and this application uses bluetooth. Would you like to turn it on?","Votre bluetooth est fermé et cette application nécessite bluetooth. Voulez-vous l'allumer?"
panelSummary,"Summary","Résumé"
panelMiss,"You have missed a point of interest. Please go back.","Vous avez manqué un point d'intérêt. SVP. Retournez au point précédent."
help1,"Click here to enter the museum","Cliquer ici pour entrer dans le musée"
help2,"Select the pinpoint to see the direction","Selectionner le pinpoint pour voir la direction"
help3,"Click here to view the summary","Cliquer ici pour voir le résumé"
help4,"Click on the icon to slide the panel","Cliquer sur l'icon pour faire glisser le panel"
floor1,"Floor 1","Étage 1"
floor2,"Floor 2","Étage 2"
floor3,"Floor 3","Étage 3"
floor4,"Floor 4","Étage 4"
floor5,"Floor 5","Étage 5"
titlestoryline1,"A stroll with Nipper","Marcher avec Nipper"
titlestoryline2,"A tour with Jean","Une tour avec Jean"
title1,"MOEB Start for all tours","Debut de tous le tours"
title2,"Ross and MacDonald Building","L'annex du Ross & MacDonald"
title3,"Presidents office","Le bureau du President RCA"
title4,"Freight Elevator","Les lifts"
title5,"The column on the 5th floor","Colunne du 5em etage"
title6,"The court yard","View dans la court du edifice"
textIntroStoryline1,"The presidents dog Nipper searches his Master","Le chien du Presidente cherche son Maitre"
textIntroStoryline2,"Discover the history of the Edifice RCA","Decouvrez l'histoire du Edifice RCA"
text1,"You can start an exploration tour on your own. Just keep your smart phone handy and walk. You will get notefied when you can listen to a audioclip, a video, images or written information on the building and its fascinating history. Happy walk!","a besoin du traduction"
text2,"You have entered into the small extension that RCA had commissioned in the mid 1930s from Montreal;s architectural firm Ross and MacDonald. The architects were in high demand, many buildings in Montreal carry their signature. Look at the smooth column heads. Nowhere else in the building will you see this level of care taken in the appearance.","Aussi je besoin d;une tradution"
text3,"When the building opened in 1936, the management and administration moved from the older complex along Lacasse and St. Antoine Street to here. The floorplan has cangened, resulting that you now can walk barrierfree from the cloakrooms, at the bottom of the stairs, through the showroom, crossing the advertisement department and ending up, where the secretary of the president had her or his desk. A private stair case, which starts today on the second floor, allowed the president to enter and exit the building relatively unobserved. How convenient.","Une autre place de mettre du contenu"
text4,"Look at the wall around the passenger elevator. You see the shadow of a much larger frame. We do not know why originally two freight elevators were here side by side. The old passenger elevator is still in place behind the door to the staircase. Have a look. Did you try to push the butten to call the elevator here? Well, good luck!","pas encore traduit"
text5,"put text","a besoin du text"
text6,"put text","a besoin du text en francaise"
